modelo,preço,loja
"Smartphone Infinix Note 40 5G 12GB ram 512GB amoled Dual Chip nfc 6,78 + Pad de Carregamento Sem Fio - Preto","R$ 3.299,00",americanas
"Smartphone Infinix Hot 50i 4GB ram 256GB 4G Câmera Dupla 48MP + Selfie 8MP nfc 5000mAh 6,7 120Hz - Preto Obsidiana","R$ 1.699,00",americanas
"Smartphone Infinix Note 40 5G 8GB ram 256GB Câmera Tripla 108MP + Selfie 32MP nfc 6,78 amoled Dual Chip - Preto","R$ 2.799,00",americanas
"Smartphone Infinix Hot 30 8gb Ram 256gb Câmera Dupla 50mp Tela 6,78 Fhd + Dual Chip - Preto","R$ 1.799,00",americanas
Smartphone Motorola Moto G05 128GB 12GB RamBoost Câmera 50MP AI Bateria de 5200 mAh Tela 6.7 - Violeta,"R$ 1.099,00",americanas
Smartphone Motorola Moto G05 128GB 12GB RAM Boost Câmera Traseira de 50MP AI Bateria de 5200 mAh Tela 6.7 - Cinza,"R$ 1.099,00",americanas
Smartphone Samsung Galaxy A16 256GB + 8GB de RAM Tela 6.7” FHD+ Super AMOLED Câmera de até 50MP - Cinza,"R$ 1.699,00",americanas
Smartphone Samsung Galaxy A16 256GB + 8GB de RAM Tela 6.7” FHD+ Super AMOLED Câmera Traseira de 50MP - Azul Marinho,"R$ 1.699,00",americanas
"Smartphone Motorola Moto G15 256GB 12GB RAM Boost Câmera 50MP com AI Tela 6.7"" NFC - Grafite Smartphone Motorola Moto G15 256GB 12GB RAM Boost Câmera 50MP AI Tela 6.7"" NFC - Grafite","R$ 1.299,00",americanas
"Smartphone Motorola Moto G15 256GB 12GB Ram Boost Câmera 50MP com AI Tela 6.7"" NFC - Verde","R$ 1.299,00",americanas
"Smartphone Motorola Moto G35 5G 256GB 12GB RAM Boost Tela 6.7"" 1.000NITS Câmera 50MP Selfie 16MP Coral","R$ 1.499,00",americanas
"Smartphone Motorola Moto G35 5G 256GB Tela 6.7"" 1.000NITS 12GB RAM Boost Câmera 50MP Selfie 16MP Cinza","R$ 1.499,00",americanas
"Smartphone Xiaomi Redmi A3 128GB 4GB de RAM Tela 6,7"" Câmera Traseira Dupla 8MP + QVGA - Preto","R$ 1.099,00",americanas
"Smartphone Motorola Moto G35 5G 128GB 8GB RAMBOOST Tela 6.7"" 1.000 NITS Câmera 50MP Selfie 16MP - Grafite","R$ 1.299,00",americanas
Smartphone Samsung Galaxy A16 128GB 4GB RAM Tela 6.7” FHD+ Super AMOLED Câmera de até 50MP - Cinza Smartphone Samsung Galaxy A16 128GB + 4GB de RAM Tela 6.7” FHD+ Super AMOLED Câmera de até 50MP - Cinza,"R$ 1.299,00",americanas
Smartphone Samsung Galaxy A16 128GB + 4GB de RAM Tela 6.7” FHD+ Super AMOLED Câmera de até 50MP - Azul Escuro,"R$ 1.299,00",americanas
Smartphone Samsung Galaxy A16 5G 256GB + 4GB de RAM Tela 6.7” FHD+ Super AMOLED Câmera de 50MP - Azul Escuro,"R$ 1.899,00",americanas
"Smartphone Samsung Galaxy A16 5G 128GB + 4GB RAM Tela 6.7"" Câmera Tripla 50MP + 5MP + 2MP - Cinza Smartphone Samsung Galaxy A16 5G 128GB + 4GB RAM Câmera Tripla 50MP + 5MP + 2MP - Cinza","R$ 1.499,00",americanas
Smartphone Samsung Galaxy A16 5G 128GB + 4GB RAM Tela 6.7” Câmera Tripla 50MP + 5MP + 2MP - Azul Escuro,"R$ 1.499,00",americanas
"Smartphone Samsung Galaxy A25 5G 256GB 8GB de RAM Tela Infinita de 6.5"" Câmera Traseira Tripla 50MP OIS + 8MP + 2MP - Azul Escuro","R$ 1.749,00",americanas
"Smartphone Xiaomi Redmi 14C BR 256GB 4GB RAM Virtual Tela 6,88"" 120hz Câmera Traseira 50MP - Preto","R$ 1.599,00",americanas
"Smartphone Motorola Moto G75 5G 256GB Tela FHD+ 6.8"" 12GB RAMBOOST Câmera SONY 50MP Selfie 16MP - Preto Smartphone Motorola Moto G75 5G 256GB 12GB RAMBOOST Tela FHD+ 6.8"" Câmera SONY 50MP Selfie 16MP - Preto","R$ 1.999,00",americanas
"Smartphone Motorola Moto G75 5G 256GB 12GB RAMBOOST Tela FHD+ 6.8"" Câmera SONY 50MP Selfie 16MP - Azul Smartphone Motorola Moto G75 5G 256GB Tela FHD+ 6.8"" 12GB RAMBOOST Câmera SONY 50MP Selfie 16MP - Azul","R$ 1.999,00",americanas
"Smartphone Infinix Hot 50I 256GB 4GB RAM NFC Tela 6,7” 120Hz Câmera Traseira 48MP + Selfie 8MP - Prata","R$ 1.499,00",americanas
"Smartphone Infinix Hot 50I 256GB 4GB RAM NFC Tela 6,7” 120Hz Câmera Traseira 48MP + Selfie 8MP - Preto Obsidiana","R$ 1.499,00",americanas
"Smartphone Motorola Moto G35 5G 128GB Tela 6.7"" 1.000 NITS 8GB RAMBOOST Câmera 50MP Selfie 16MP - Verde","R$ 1.299,00",americanas
"Smartphone Samsung Galaxy A06 128GB 4GB RAM Tela 6,7"" Câmera Traseira 50 + 2MP Frontal 8MP Azul Escuro","R$ 749,00",americanas
"Smartphone Samsung Galaxy A06 128GB 4GB RAM Tela 6,7"" Câmera Traseira 50MP + 2MP Frontal 8MP Branco","R$ 749,00",americanas
"Smartphone Samsung Galaxy A15 4G 128GB Tela 6.5"" 4GB RAM Câmera Tripla + Selfie 13MP - Azul Escuro","R$ 999,00",americanas
"Smartphone Motorola Moto G04S 4G 128GB 8GB RAM Boost Tela 6.6"" Câmera AI 50MP + Selfie 5MP - Grafite","R$ 749,00",americanas
"Smartphone Samsung Galaxy A26 5G 256GB 8GB RAM Câmera 50MP IP67 Tela Super AMOLED 6.7"" Preto","R$ 1.699,99",americanas
"Smartphone Samsung Galaxy A06 128GB 4GB RAM Tela 6,7"" Câmera Traseira 50+2MP Frontal 8MP Verde Claro","R$ 749,00",americanas
